model,valid_time,height_agl_m,mean_turbulence,p90_turbulence,high_risk_fraction,mean_uncertainty
model_d,2025-07-31 03:00:00,1000.0,0.5418545603752136,0.6232612133026123,0.030360531309297913,0.30908384919166565
model_d,2025-07-31 03:00:00,1050.0,0.5367028117179871,0.6206187605857849,0.02600323283435238,0.3079647421836853
model_d,2025-07-31 03:00:00,1100.0,0.5373802781105042,0.6210867166519165,0.02797104504884391,0.3080546259880066
model_d,2025-07-31 03:00:00,1150.0,0.5356672406196594,0.6205573081970215,0.02944690420971256,0.30806735157966614
model_d,2025-07-31 03:00:00,1200.0,0.5301397442817688,0.6162804961204529,0.023613746573898378,0.3108918070793152
model_d,2025-07-31 03:00:00,1250.0,0.5296279191970825,0.6170791983604431,0.027760208025862675,0.313385546207428
model_d,2025-07-31 03:00:00,1300.0,0.5276090502738953,0.6171348094940186,0.02902523016375009,0.3136046230792999
model_d,2025-07-31 03:00:00,1350.0,0.5271710157394409,0.6163892149925232,0.028392719094806382,0.3139039874076843
model_d,2025-07-31 03:00:00,1400.0,0.5220227837562561,0.6116318106651306,0.02347318855857755,0.31453555822372437
model_d,2025-07-31 03:00:00,1450.0,0.5168598294258118,0.6084821820259094,0.017429193899782137,0.31616032123565674
model_d,2025-07-31 03:00:00,1500.0,0.5118701457977295,0.6030238270759583,0.014055801532082367,0.31539133191108704
model_d,2025-07-31 03:00:00,1550.0,0.5094777345657349,0.6020493507385254,0.015742497715932252,0.31564444303512573
model_d,2025-07-31 03:00:00,1600.0,0.503870964050293,0.593471109867096,0.00990934008011807,0.315185010433197
model_d,2025-07-31 03:00:00,1650.0,0.4979548752307892,0.5896836519241333,0.00878487595755148,0.3151276409626007
model_d,2025-07-31 03:00:00,1700.0,0.4883192181587219,0.5820271372795105,0.005130367559210064,0.31624966859817505
model_d,2025-07-31 03:00:00,1750.0,0.48500242829322815,0.5784176588058472,0.004638414505587181,0.3159879446029663
model_d,2025-07-31 03:00:00,1800.0,0.48397547006607056,0.5776724815368652,0.004427577482605946,0.31631094217300415
model_d,2025-07-31 03:00:00,1850.0,0.4821918308734894,0.5771505832672119,0.004638414505587181,0.3163595497608185
model_d,2025-07-31 03:00:00,1900.0,0.4781605303287506,0.5726912021636963,0.0030922763370581207,0.31588685512542725
model_d,2025-07-31 03:00:00,1950.0,0.47609999775886536,0.5721486806869507,0.003373392367699768,0.31662610173225403
model_d,2025-07-31 03:00:00,2000.0,0.4776877760887146,0.5759500861167908,0.007168458781362007,0.31816720962524414
model_d,2025-07-31 03:30:00,0.0,0.4680177867412567,0.5791086554527283,0.008503759926909831,0.2725750207901001
model_d,2025-07-31 03:30:00,50.0,0.5081709623336792,0.6212560534477234,0.05601236910534823,0.2932097017765045
model_d,2025-07-31 03:30:00,100.0,0.5437816381454468,0.6576854586601257,0.16656124815517606,0.28595632314682007
model_d,2025-07-31 03:30:00,150.0,0.5439004898071289,0.6679373979568481,0.19200224892824513,0.2773236036300659
model_d,2025-07-31 03:30:00,200.0,0.5551843047142029,0.6818886399269104,0.24260313444374165,0.2820310890674591
model_d,2025-07-31 03:30:00,250.0,0.5574495792388916,0.6812304854393005,0.2286878909269801,0.2854042053222656
