地区,月份,实际事件数,协调预测事件数,误差_实际减预测
东南亚,2013-12-01,82,42.54625580426491,39.45374419573509
东南亚,2014-01-01,91,94.58684680897025,-3.5868468089702503
东南亚,2014-02-01,117,105.41468023494912,11.585319765050883
东南亚,2014-03-01,113,114.0476194237677,-1.0476194237676992
东南亚,2014-04-01,65,115.28538303779531,-50.28538303779531
东南亚,2014-05-01,153,116.52734995022722,36.47265004977278
东南亚,2014-06-01,72,102.97292654549952,-30.97292654549952
东南亚,2014-07-01,84,100.02186388327722,-16.02186388327722
东南亚,2014-08-01,84,104.67350423443847,-20.673504234438468
东南亚,2014-09-01,77,103.3277049083821,-26.327704908382103
东南亚,2014-10-01,74,116.78395201910509,-42.78395201910509
东南亚,2014-11-01,79,99.44225490790522,-20.442254907905223
东南亚,2014-12-01,73,85.30213851407179,-12.302138514071785
东南亚,2015-01-01,74,72.45359813213346,1.5464018678665354
东南亚,2015-02-01,81,88.44831951521617,-7.44831951521617
东南亚,2015-03-01,88,89.80564659975667,-1.8056465997566704
东南亚,2015-04-01,99,84.48480451368518,14.515195486314823
东南亚,2015-05-01,100,106.66253582113643,-6.66253582113643
东南亚,2015-06-01,71,72.52745706239452,-1.527457062394518
东南亚,2015-07-01,97,72.66446778781601,24.335532212183992
东南亚,2015-08-01,82,81.05759831339883,0.9424016866011726
东南亚,2015-09-01,75,71.29997349543531,3.70002650456469
东南亚,2015-10-01,120,86.5771762947853,33.4228237052147
东南亚,2015-11-01,84,73.07883377649165,10.92116622350835
东南亚,2015-12-01,101,62.415596379116145,38.584403620883855
东南亚,2016-01-01,74,96.61986247977612,-22.619862479776117
东南亚,2016-02-01,106,111.07011387395582,-5.070113873955819
东南亚,2016-03-01,118,113.15306689624138,4.846933103758616
东南亚,2016-04-01,98,110.86929390592327,-12.869293905923271
东南亚,2016-05-01,121,125.95423578226209,-4.954235782262089
东南亚,2016-06-01,83,96.4963217920577,-13.4963217920577
东南亚,2016-07-01,66,104.82469693128992,-38.82469693128992
东南亚,2016-08-01,127,109.78796225308045,17.21203774691955
东南亚,2016-09-01,35,92.75345242097859,-57.75345242097859
东南亚,2016-10-01,53,118.93711338327788,-65.93711338327788
东南亚,2016-11-01,128,101.2962774795415,26.7037225204585
东南亚,2016-12-01,68,95.69641107828193,-27.696411078281926
南亚,2012-01-01,288,186.62819358804,101.37180641196
南亚,2012-02-01,235,166.328125329947,68.671874670053
南亚,2012-03-01,287,193.50885925104146,93.49114074895854
南亚,2012-04-01,316,209.2421250727798,106.7578749272202
南亚,2012-05-01,425,222.07115014391144,202.92884985608856
南亚,2012-06-01,382,216.94495794363607,165.05504205636393
南亚,2012-07-01,338,227.17815385142958,110.82184614857042
南亚,2012-08-01,333,193.20774851422868,139.79225148577132
南亚,2012-09-01,268,191.85296168626954,76.14703831373046
南亚,2012-10-01,339,184.8472622556259,154.1527377443741
南亚,2012-11-01,329,235.5841119996176,93.41588800038241
南亚,2012-12-01,263,194.02464375637794,68.97535624362206
南亚,2013-01-01,398,325.0712557764966,72.92874422350337
南亚,2013-02-01,268,297.49728450299597,-29.497284502995967
南亚,2013-03-01,349,336.07824029019844,12.921759709801563
南亚,2013-04-01,479,351.6847815468119,127.3152184531881
南亚,2013-05-01,482,388.8662713676318,93.13372863236822
南亚,2013-06-01,345,360.4870021699849,-15.487002169984919
南亚,2013-07-01,417,370.2722970979175,46.72770290208251
南亚,2013-08-01,332,340.0847927872126,-8.08479278721262
南亚,2013-09-01,359,325.8872925893142,33.1127074106858
南亚,2013-10-01,399,335.085024363705,63.914975636295026
南亚,2013-11-01,433,359.07075638278525,73.92924361721475
南亚,2013-12-01,351,328.88357877797193,22.116421222028066
南亚,2014-01-01,484,453.78818167509354,30.21181832490646
南亚,2014-02-01,415,387.0360870963035,27.963912903696496
南亚,2014-03-01,369,441.4835203888173,-72.48352038881728
南亚,2014-04-01,510,502.17532726414584,7.824672735854165
南亚,2014-05-01,472,537.8570573069945,-65.85705730699453
南亚,2014-06-01,438,457.4195329227621,-19.419532922762073
南亚,2014-07-01,394,482.56439975009016,-88.56439975009016
南亚,2014-08-01,438,437.7018195927103,0.2981804072896921
南亚,2014-09-01,403,435.3558464921755,-32.35584649217549
南亚,2014-10-01,330,466.04163835231645,-136.04163835231645
南亚,2014-11-01,369,487.674662135086,-118.67466213508601
南亚,2014-12-01,376,426.0294427015414,-50.02944270154143
南亚,2015-01-01,564,461.2759783977395,102.7240216022605
南亚,2015-02-01,455,399.09299551153276,55.90700448846724
南亚,2015-03-01,327,415.4729394125307,-88.4729394125307
南亚,2015-04-01,365,499.8193365103233,-134.8193365103233
南亚,2015-05-01,468,511.3999569981744,-43.39995699817439
南亚,2015-06-01,358,446.4660423561117,-88.4660423561117
南亚,2015-07-01,329,446.60475105216136,-117.60475105216136
南亚,2015-08-01,398,433.9772429563901,-35.977242956390114
南亚,2015-09-01,367,426.4614817254018,-59.461481725401825
南亚,2015-10-01,355,413.27340286873095,-58.273402868730955
南亚,2015-11-01,313,447.12518005430866,-134.12518005430866
南亚,2015-12-01,286,408.98404009577007,-122.98404009577007
南亚,2016-01-01,328,476.09389423385045,-148.09389423385045
南亚,2016-02-01,319,379.18740177115274,-60.187401771152736
南亚,2016-03-01,283,299.5523541655001,-16.552354165500105
南亚,2016-04-01,293,369.15447412964176,-76.15447412964176
南亚,2016-05-01,356,428.01102271357087,-72.01102271357087
南亚,2016-06-01,298,337.05212304343826,-39.05212304343826
南亚,2016-07-01,265,314.3719639560315,-49.37196395603149
南亚,2016-08-01,343,358.4358188624298,-15.435818862429812
南亚,2016-09-01,288,331.0372019639954,-43.037201963995415
南亚,2016-10-01,332,313.2415863347924,18.758413665207627
南亚,2016-11-01,271,300.7646666320629,-29.764666632062927
南亚,2016-12-01,263,274.6147589907566,-11.614758990756627
中亚,2012-01-01,0,0.75,-0.75
中亚,2012-02-01,2,0.75,1.25
中亚,2012-03-01,0,0.75,-0.75
中亚,2012-04-01,1,0.75,0.25
中亚,2012-05-01,1,0.75,0.25
中亚,2012-06-01,1,0.75,0.25
中亚,2012-07-01,5,0.75,4.25
中亚,2012-08-01,1,0.75,0.25
中亚,2012-09-01,1,0.75,0.25
中亚,2012-10-01,0,0.75,-0.75
中亚,2012-11-01,0,0.7500000000000001,-0.7500000000000001
中亚,2012-12-01,0,0.75,-0.75
中亚,2013-01-01,1,1.0,0.0
中亚,2013-02-01,1,0.9999999999999999,1.1102230246251565e-16
中亚,2013-03-01,0,1.0,-1.0
中亚,2013-04-01,0,1.0,-1.0
中亚,2013-05-01,0,1.0,-1.0
中亚,2013-06-01,3,1.0,2.0
中亚,2013-07-01,0,1.0,-1.0
中亚,2013-08-01,1,1.0,0.0
中亚,2013-09-01,1,1.0,0.0
中亚,2013-10-01,0,0.9999999999999999,-0.9999999999999999
中亚,2013-11-01,0,1.0,-1.0
中亚,2013-12-01,0,1.0,-1.0
中亚,2014-01-01,0,0.5833333333333334,-0.5833333333333334
中亚,2014-02-01,2,0.5833333333333334,1.4166666666666665
中亚,2014-03-01,3,0.5833333333333334,2.4166666666666665
中亚,2014-04-01,0,0.5833333333333334,-0.5833333333333334
中亚,2014-05-01,1,0.5833333333333334,0.41666666666666663
中亚,2014-06-01,0,0.5833333333333334,-0.5833333333333334
中亚,2014-07-01,0,0.5833333333333334,-0.5833333333333334
中亚,2014-08-01,0,0.5833333333333334,-0.5833333333333334
中亚,2014-09-01,1,0.5833333333333334,0.41666666666666663
中亚,2014-10-01,0,0.5833333333333334,-0.5833333333333334
中亚,2014-11-01,1,0.5833333333333334,0.41666666666666663
中亚,2014-12-01,1,0.5833333333333334,0.41666666666666663
中亚,2015-01-01,0,0.75,-0.75
中亚,2015-02-01,1,0.7499999999999999,0.2500000000000001
中亚,2015-03-01,0,0.75,-0.75
中亚,2015-04-01,2,0.7500000000000001,1.25
中亚,2015-05-01,0,0.7500000000000001,-0.7500000000000001
中亚,2015-06-01,0,0.75,-0.75
中亚,2015-07-01,0,0.7500000000000001,-0.7500000000000001
中亚,2015-08-01,0,0.75,-0.75
中亚,2015-09-01,3,0.75,2.25
中亚,2015-10-01,0,0.75,-0.75
中亚,2015-11-01,3,0.75,2.25
中亚,2015-12-01,1,0.75,0.25
中亚,2016-01-01,0,0.8333333333333335,-0.8333333333333335
中亚,2016-02-01,2,0.8333333333333334,1.1666666666666665
中亚,2016-03-01,1,0.8333333333333334,0.16666666666666663
中亚,2016-04-01,0,0.8333333333333334,-0.8333333333333334
中亚,2016-05-01,1,0.8333333333333333,0.16666666666666674
中亚,2016-06-01,4,0.8333333333333334,3.1666666666666665
中亚,2016-07-01,2,0.8333333333333335,1.1666666666666665
中亚,2016-08-01,2,0.8333333333333333,1.1666666666666667
中亚,2016-09-01,1,0.8333333333333334,0.16666666666666663
中亚,2016-10-01,3,0.8333333333333333,2.166666666666667
中亚,2016-11-01,0,0.8333333333333334,-0.8333333333333334
中亚,2016-12-01,1,0.8333333333333334,0.16666666666666663
西欧,2012-01-01,8,7.916666666666667,0.08333333333333304
西欧,2012-02-01,3,7.916666666666667,-4.916666666666667
西欧,2012-03-01,12,7.916666666666667,4.083333333333333
西欧,2012-04-01,15,7.916666666666668,7.083333333333332
西欧,2012-05-01,41,7.916666666666668,33.08333333333333
西欧,2012-06-01,16,7.916666666666666,8.083333333333334
西欧,2012-07-01,9,7.916666666666667,1.083333333333333
西欧,2012-08-01,8,7.916666666666667,0.08333333333333304
西欧,2012-09-01,19,7.916666666666668,11.083333333333332
西欧,2012-10-01,12,7.916666666666667,4.083333333333333
西欧,2012-11-01,10,7.916666666666667,2.083333333333333
西欧,2012-12-01,40,7.916666666666668,32.08333333333333
西欧,2013-01-01,33,16.083333333333332,16.916666666666668
西欧,2013-02-01,23,16.083333333333332,6.916666666666668
西欧,2013-03-01,25,16.083333333333332,8.916666666666668
西欧,2013-04-01,12,16.083333333333332,-4.083333333333332
西欧,2013-05-01,25,16.083333333333332,8.916666666666668
西欧,2013-06-01,25,16.083333333333332,8.916666666666668
西欧,2013-07-01,19,16.083333333333332,2.916666666666668
西欧,2013-08-01,19,16.083333333333332,2.916666666666668
西欧,2013-09-01,10,16.083333333333332,-6.083333333333332
西欧,2013-10-01,25,16.083333333333332,8.916666666666668
西欧,2013-11-01,22,16.083333333333332,5.916666666666668
西欧,2013-12-01,23,16.083333333333332,6.916666666666668
西欧,2014-01-01,11,21.75,-10.75
西欧,2014-02-01,16,21.75,-5.75
西欧,2014-03-01,26,21.750000000000004,4.2499999999999964
西欧,2014-04-01,16,21.75,-5.75
西欧,2014-05-01,8,21.75,-13.75
西欧,2014-06-01,19,21.75,-2.75
西欧,2014-07-01,12,21.75,-9.75
西欧,2014-08-01,26,21.75,4.25
西欧,2014-09-01,17,21.75,-4.75
西欧,2014-10-01,20,21.75,-1.75
西欧,2014-11-01,24,21.75,2.25
西欧,2014-12-01,20,21.75,-1.75
西欧,2015-01-01,28,17.916666666666668,10.083333333333332
西欧,2015-02-01,23,17.916666666666668,5.083333333333332
西欧,2015-03-01,18,17.916666666666668,0.08333333333333215
西欧,2015-04-01,21,17.916666666666668,3.083333333333332
西欧,2015-05-01,21,17.916666666666668,3.083333333333332
西欧,2015-06-01,12,17.916666666666668,-5.916666666666668
西欧,2015-07-01,20,17.916666666666668,2.083333333333332
西欧,2015-08-01,21,17.916666666666668,3.083333333333332
西欧,2015-09-01,27,17.916666666666668,9.083333333333332
西欧,2015-10-01,45,17.916666666666668,27.083333333333332
西欧,2015-11-01,52,17.916666666666668,34.08333333333333
西欧,2015-12-01,45,17.916666666666668,27.083333333333332
西欧,2016-01-01,27,27.75,-0.75
西欧,2016-02-01,30,27.75,2.25
西欧,2016-03-01,28,27.750000000000004,0.24999999999999645
西欧,2016-04-01,20,27.75,-7.75
西欧,2016-05-01,15,27.75,-12.75
西欧,2016-06-01,21,27.75,-6.75
西欧,2016-07-01,33,27.75,5.25
西欧,2016-08-01,18,27.750000000000004,-9.750000000000004
西欧,2016-09-01,17,27.75,-10.75
西欧,2016-10-01,21,27.75,-6.75
西欧,2016-11-01,21,27.75,-6.75
西欧,2016-12-01,22,27.75,-5.75
东欧,2012-01-01,10,6.092581793334829,3.907418206665171
东欧,2012-02-01,2,10.941041162176584,-8.941041162176584
东欧,2012-03-01,9,4.005105944532923,4.994894055467077
东欧,2012-04-01,15,8.085323840945279,6.914676159054721
东欧,2012-05-01,21,6.77841057673111,14.22158942326889
东欧,2012-06-01,27,10.885355024536876,16.114644975463122
东欧,2012-07-01,17,16.204585844173923,0.7954141558260766
东欧,2012-08-01,29,10.536306525366188,18.463693474633814
东欧,2012-09-01,9,7.079143156140754,1.9208568438592462
东欧,2012-10-01,16,8.23238428538559,7.76761571461441
东欧,2012-11-01,11,18.79639518189469,-7.796395181894692
东欧,2012-12-01,7,7.9689082386341,-0.9689082386340999
东欧,2013-01-01,15,6.8442238311349515,8.15577616886505
东欧,2013-02-01,10,8.664489628414028,1.335510371585972
东欧,2013-03-01,4,4.1500664351146215,-0.15006643511462148
东欧,2013-04-01,10,9.287968776216012,0.7120312237839883
东欧,2013-05-01,15,9.667762288651314,5.332237711348686
东欧,2013-06-01,7,14.481117671772711,-7.4811176717727115
东欧,2013-07-01,18,17.72115868947083,0.27884131052917027
东欧,2013-08-01,14,13.182622006241715,0.817377993758285
东欧,2013-09-01,12,7.86124305561977,4.13875694438023
东欧,2013-10-01,21,10.553648237765117,10.446351762234883
东欧,2013-11-01,20,16.056925911974826,3.943074088025174
东欧,2013-12-01,19,8.96898347683876,10.03101652316124
东欧,2014-01-01,15,17.431334054963738,-2.431334054963738
东欧,2014-02-01,18,18.01102308513691,-0.011023085136908861
东欧,2014-03-01,9,13.415829904514668,-4.415829904514668
东欧,2014-04-01,72,16.84299535975705,55.157004640242945
东欧,2014-05-01,86,18.29008823295446,67.70991176704554
东欧,2014-06-01,90,19.754945544899712,70.24505445510029
东欧,2014-07-01,196,24.235594738888498,171.7644052611115
东欧,2014-08-01,78,20.730376174198593,57.2696238258014
东欧,2014-09-01,88,17.037684843636896,70.9623151563631
东欧,2014-10-01,138,19.35618535437303,118.64381464562697
东欧,2014-11-01,105,23.284672490406074,81.71532750959392
东欧,2014-12-01,67,15.022043711582178,51.97795628841782
东欧,2015-01-01,143,86.79952114661957,56.20047885338043
东欧,2015-02-01,82,86.89224964749224,-4.8922496474922355
东欧,2015-03-01,103,80.35303833831118,22.64696166168882
东欧,2015-04-01,81,97.0412627054329,-16.0412627054329
东欧,2015-05-01,54,99.89457100576188,-45.894571005761875
东欧,2015-06-01,40,101.58928712032728,-61.589287120327285
东欧,2015-07-01,34,126.04767356975483,-92.04767356975483
东欧,2015-08-01,49,100.31662774911888,-51.31662774911888
东欧,2015-09-01,19,99.8282548464041,-80.8282548464041
东欧,2015-10-01,31,110.0809745673277,-79.0809745673277
东欧,2015-11-01,27,105.56579743050881,-78.56579743050881
东欧,2015-12-01,21,92.84585954262377,-71.84585954262377
东欧,2016-01-01,5,37.74115699979512,-32.74115699979512
东欧,2016-02-01,16,24.725659555433587,-8.725659555433587
东欧,2016-03-01,14,25.071414033892964,-11.071414033892964
东欧,2016-04-01,18,35.63873686493746,-17.638736864937457
东欧,2016-05-01,13,34.58585751904401,-21.585857519044012
东欧,2016-06-01,8,32.77121383761713,-24.771213837617132
东欧,2016-07-01,5,52.73445035046624,-47.73445035046624
东欧,2016-08-01,17,32.544449658312885,-15.544449658312885
东欧,2016-09-01,14,25.27184215823381,-11.27184215823381
东欧,2016-10-01,12,39.56613324266046,-27.566133242660463
东欧,2016-11-01,3,31.639862327818488,-28.639862327818488
东欧,2016-12-01,9,20.013675991190745,-11.013675991190745
中东与北非,2012-01-01,232,110.05362624185683,121.94637375814317
中东与北非,2012-02-01,164,107.39907918394807,56.600920816051925
中东与北非,2012-03-01,165,131.4008649367674,33.59913506323261
中东与北非,2012-04-01,214,147.17913897177715,66.82086102822285
中东与北非,2012-05-01,194,145.1474480427367,48.8525519572633
中东与北非,2012-06-01,201,148.14520892731582,52.85479107268418
中东与北非,2012-07-01,209,138.90856286022273,70.09143713977727
中东与北非,2012-08-01,253,145.96530245386813,107.03469754613187
中东与北非,2012-09-01,228,139.65516651990444,88.34483348009556
中东与北非,2012-10-01,201,144.0632931426682,56.936706857331814
中东与北非,2012-11-01,205,199.5564683833943,5.443531616605696
中东与北非,2012-12-01,143,159.01618026649845,-16.016180266498452
中东与北非,2013-01-01,208,173.50911435531484,34.490885644685164
中东与北非,2013-02-01,186,147.32188854448017,38.678111455519826
中东与北非,2013-03-01,231,173.31213469582354,57.687865304176455
中东与北非,2013-04-01,252,203.3034748152434,48.69652518475661
中东与北非,2013-05-01,343,189.1123648986795,153.8876351013205
中东与北非,2013-06-01,311,184.11316342474728,126.88683657525272
中东与北非,2013-07-01,522,189.71172725219617,332.28827274780383
中东与北非,2013-08-01,460,198.50821119550147,261.4917888044985
中东与北非,2013-09-01,401,179.31637687845117,221.68362312154883
中东与北非,2013-10-01,475,178.11637094330814,296.88362905669186
中东与北非,2013-11-01,558,202.7052472235282,355.2947527764718
