地区,模型,月份,实际事件数,预测事件数
中东与北非,近12月均值,2013-04-01,252,200.75
中东与北非,近12月均值,2013-05-01,343,200.75
中东与北非,近12月均值,2013-06-01,311,200.75
中东与北非,近12月均值,2013-07-01,522,200.75
中东与北非,近12月均值,2013-08-01,460,200.75
中东与北非,近12月均值,2013-09-01,401,200.75
中东与北非,近12月均值,2013-10-01,475,200.75
中东与北非,近12月均值,2013-11-01,558,200.75
中东与北非,近12月均值,2013-12-01,612,200.75
中东与北非,近12月均值,2014-01-01,587,379.9166666666667
中东与北非,近12月均值,2014-02-01,637,379.9166666666667
中东与北非,近12月均值,2014-03-01,730,379.9166666666667
中东与北非,近12月均值,2014-04-01,575,379.9166666666667
中东与北非,近12月均值,2014-05-01,706,379.9166666666667
中东与北非,近12月均值,2014-06-01,548,379.9166666666667
中东与北非,近12月均值,2014-07-01,680,379.9166666666667
中东与北非,近12月均值,2014-08-01,549,379.9166666666667
中东与北非,近12月均值,2014-09-01,491,379.9166666666667
中东与北非,近12月均值,2014-10-01,545,379.9166666666667
中东与北非,近12月均值,2014-11-01,453,379.9166666666667
中东与北非,近12月均值,2014-12-01,438,379.9166666666667
中东与北非,近12月均值,2015-01-01,544,578.25
中东与北非,近12月均值,2015-02-01,453,578.25
中东与北非,近12月均值,2015-03-01,468,578.25
中东与北非,近12月均值,2015-04-01,537,578.25
中东与北非,近12月均值,2015-05-01,473,578.25
中东与北非,近12月均值,2015-06-01,499,578.25
中东与北非,近12月均值,2015-07-01,534,578.25
中东与北非,近12月均值,2015-08-01,579,578.25
中东与北非,近12月均值,2015-09-01,446,578.25
中东与北非,近12月均值,2015-10-01,552,578.25
中东与北非,近12月均值,2015-11-01,500,578.25
中东与北非,近12月均值,2015-12-01,451,578.25
中东与北非,近12月均值,2016-01-01,574,503.0
中东与北非,近12月均值,2016-02-01,510,503.0
中东与北非,近12月均值,2016-03-01,481,503.0
中东与北非,近12月均值,2016-04-01,510,503.0
中东与北非,近12月均值,2016-05-01,639,503.0
中东与北非,近12月均值,2016-06-01,528,503.0
中东与北非,近12月均值,2016-07-01,510,503.0
中东与北非,近12月均值,2016-08-01,483,503.0
中东与北非,近12月均值,2016-09-01,518,503.0
中东与北非,近12月均值,2016-10-01,524,503.0
中东与北非,近12月均值,2016-11-01,447,503.0
中东与北非,近12月均值,2016-12-01,391,503.0
中东与北非,阻尼季节ETS,2012-01-01,232,107.94072638814842
中东与北非,阻尼季节ETS,2012-02-01,164,101.71042728402804
中东与北非,阻尼季节ETS,2012-03-01,165,131.44817298897453
中东与北非,阻尼季节ETS,2012-04-01,214,141.62504033444867
中东与北非,阻尼季节ETS,2012-05-01,194,126.26859926242504
中东与北非,阻尼季节ETS,2012-06-01,201,181.89832344426466
中东与北非,阻尼季节ETS,2012-07-01,209,131.60459843621334
中东与北非,阻尼季节ETS,2012-08-01,253,125.2124776410671
中东与北非,阻尼季节ETS,2012-09-01,228,110.97889702000377
中东与北非,阻尼季节ETS,2012-10-01,201,146.1641778922961
中东与北非,阻尼季节ETS,2012-11-01,205,168.92087587779426
